accesscontrolinfo,alertactionscount,alertactionssent,attacks,captchasupport,city,clientipex,clientport,cookiessupport,countrycode,dlingestiontimestamp,endpointid,endtime,geocoordinates,headersview,hiddenalertactionscount,hiddenalertactionssent,httpversion,incidentoccurred,jssupport,mainattack,method,normalactionscount,normalactionssent,objectidentifier,pagehitcount,postbody,protocol,querystring,referrer,requestendtime,requestid,requestresult,requeststarttime,responseattacks,responseendtime,responsestarttime,serialnumber,sessionid,sessionmessagetime,sessionstarttime,siteid,sslcipher,tagevenets,tcpinfo,totalactionscount,totalactionssent,totalhitcount,url,urlid,visitorclappid,visitorclappsig1,visitorclapptype,visitorid,year,month,day,hour,minute,sessionblockinginfo,xforwardedfor,contentlength,useragent,dynamiciplists,tlsfingerprint,tlsfingerprintid,proxyid,messagedate,att
ALLOW,2,2,credential_stuffing,true,Warsaw,62.10.91.8,443,true,PL,2026-05-01T08:14:01Z,EP015,2026-05-01T08:14:03Z,"52.22,21.01",std_headers,1,1,HTTP/2,true,true,ATO,POST,4,4,OBJ1015,93,"username=x2&password=y2",HTTPS,"?retry=4",direct,2026-05-01T08:14:03Z,REQ0015,BLOCKED,2026-05-01T08:14:01Z,password_spray,2026-05-01T08:14:03Z,2026-05-01T08:14:02Z,SN015,SID1015,2026-05-01T08:14:02Z,2026-05-01T08:14:00Z,SITE01,TLS_AES_128_GCM_SHA256,login_wave,ok,6,6,93,https://corp.com/login,U015,CLAPP15,SIGX15,script,VIS015,2026,5,1,8,14,SOFT_BLOCK,10.0.0.15,740,curl/8.1,true,TLSFP015,1015,PRX15,2026-05-01,high
ALLOW,1,1,scraping,true,Rome,92.44.10.2,443,true,IT,2026-05-01T08:15:01Z,EP016,2026-05-01T08:15:04Z,"41.90,12.49",std_headers,0,0,HTTP/2,true,true,Scraping,GET,2,2,OBJ1016,145,,HTTPS,"?page=8",bing.com,2026-05-01T08:15:04Z,REQ0016,CHALLENGED,2026-05-01T08:15:01Z,catalog_enum,2026-05-01T08:15:04Z,2026-05-01T08:15:03Z,SN016,SID1016,2026-05-01T08:15:03Z,2026-05-01T08:15:00Z,SITE01,TLS_AES_256_GCM_SHA384,pricing_probe,ok,3,3,145,https://corp.com/catalog,U016,CLAPP16,SIGX16,headless,VIS016,2026,5,1,8,15,RATE_LIMIT,10.0.0.16,0,HeadlessChrome,true,TLSFP016,1016,PRX16,2026-05-01,medium
ALLOW,3,3,ticket_scalping,true,Prague,84.22.91.11,443,true,CZ,2026-05-01T08:16:01Z,EP017,2026-05-01T08:16:05Z,"50.07,14.43",std_headers,1,1,HTTP/2,true,true,Ticketing,POST,5,5,OBJ1017,275,"qty=5",HTTPS,"?event=321",direct,2026-05-01T08:16:05Z,REQ0017,BLOCKED,2026-05-01T08:16:01Z,inventory_hoard,2026-05-01T08:16:05Z,2026-05-01T08:16:03Z,SN017,SID1017,2026-05-01T08:16:03Z,2026-05-01T08:16:00Z,SITE01,TLS_CHACHA20_POLY1305_SHA256,buy_spike,ok,8,8,275,https://corp.com/checkout,U017,CLAPP17,SIGX17,automation,VIS017,2026,5,1,8,16,HARD_BLOCK,10.0.0.17,1024,Playwright,true,TLSFP017,1017,PRX17,2026-05-01,critical
ALLOW,0,0,normal,false,San Francisco,45.19.88.2,443,true,US,2026-05-01T08:17:01Z,EP018,2026-05-01T08:17:02Z,"37.77,-122.41",std_headers,0,0,HTTP/2,false,true,None,GET,1,1,OBJ1018,12,,HTTPS,"",google.com,2026-05-01T08:17:02Z,REQ0018,ALLOWED,2026-05-01T08:17:01Z,None,2026-05-01T08:17:02Z,2026-05-01T08:17:02Z,SN018,SID1018,2026-05-01T08:17:02Z,2026-05-01T08:17:00Z,SITE01,TLS_AES_256_GCM_SHA384,normal_browse,ok,1,1,12,https://corp.com/home,U018,CLAPP18,SIGX18,browser,VIS018,2026,5,1,8,17,NONE,10.0.0.18,128,Chrome/124,false,TLSFP018,1018,,2026-05-01,low
ALLOW,2,2,credential_stuffing,true,Hong Kong,203.77.11.44,443,true,HK,2026-05-01T08:18:01Z,EP019,2026-05-01T08:18:03Z,"22.31,114.17",std_headers,1,1,HTTP/2,true,true,ATO,POST,4,4,OBJ1019,110,"username=hk1&password=test",HTTPS,"?retry=5",direct,2026-05-01T08:18:03Z,REQ0019,BLOCKED,2026-05-01T08:18:01Z,password_spray,2026-05-01T08:18:03Z,2026-05-01T08:18:02Z,SN019,SID1019,2026-05-01T08:18:02Z,2026-05-01T08:18:00Z,SITE01,TLS_AES_128_GCM_SHA256,login_wave,ok,6,6,110,https://corp.com/login,U019,CLAPP19,SIGX19,script,VIS019,2026,5,1,8,18,SOFT_BLOCK,10.0.0.19,800,python-requests/2.31,true,TLSFP019,1019,PRX19,2026-05-01,high
ALLOW,1,1,scraping,true,Beijing,101.77.22.5,443,true,CN,2026-05-01T08:19:01Z,EP020,2026-05-01T08:19:04Z,"39.90,116.40",std_headers,0,0,HTTP/2,true,true,Scraping,GET,2,2,OBJ1020,240,,HTTPS,"?page=5",baidu.com,2026-05-01T08:19:04Z,REQ0020,CHALLENGED,2026-05-01T08:19:01Z,api_harvest,2026-05-01T08:19:04Z,2026-05-01T08:19:03Z,SN020,SID1020,2026-05-01T08:19:03Z,2026-05-01T08:19:00Z,SITE01,TLS_AES_256_GCM_SHA384,pricing_probe,ok,3,3,240,https://corp.com/api/pricing,U020,CLAPP20,SIGX20,headless,VIS020,2026,5,1,8,19,RATE_LIMIT,10.0.0.20,0,Scrapy/2.9,true,TLSFP020,1020,PRX20,2026-05-01,medium
ALLOW,3,3,ticket_scalping,true,Vienna,77.41.91.12,443,true,AT,2026-05-01T08:20:01Z,EP021,2026-05-01T08:20:05Z,"48.20,16.37",std_headers,1,1,HTTP/2,true,true,Ticketing,POST,5,5,OBJ1021,310,"qty=10",HTTPS,"?event=444",direct,2026-05-01T08:20:05Z,REQ0021,BLOCKED,2026-05-01T08:20:01Z,inventory_hoard,2026-05-01T08:20:05Z,2026-05-01T08:20:03Z,SN021,SID1021,2026-05-01T08:20:03Z,2026-05-01T08:20:00Z,SITE01,TLS_CHACHA20_POLY1305_SHA256,buy_spike,ok,8,8,310,https://corp.com/buy,U021,CLAPP21,SIGX21,automation,VIS021,2026,5,1,8,20,HARD_BLOCK,10.0.0.21,1200,selenium-bot,true,TLSFP021,1021,PRX21,2026-05-01,critical
ALLOW,0,0,normal,false,Boston,55.88.14.6,443,true,US,2026-05-01T08:21:01Z,EP022,2026-05-01T08:21:02Z,"42.36,-71.05",std_headers,0,0,HTTP/2,false,true,None,GET,1,1,OBJ1022,25,,HTTPS,"",google.com,2026-05-01T08:21:02Z,REQ0022,ALLOWED,2026-05-01T08:21:01Z,None,2026-05-01T08:21:02Z,2026-05-01T08:21:02Z,SN022,SID1022,2026-05-01T08:21:02Z,2026-05-01T08:21:00Z,SITE01,TLS_AES_256_GCM_SHA384,normal_browse,ok,1,1,25,https://corp.com/search,U022,CLAPP22,SIGX22,browser,VIS022,2026,5,1,8,21,NONE,10.0.0.22,256,Firefox/125,false,TLSFP022,1022,,2026-05-01,low
ALLOW,2,2,credential_stuffing,true,Sao Paulo,201.55.17.8,443,true,BR,2026-05-01T08:22:01Z,EP023,2026-05-01T08:22:03Z,"-23.55,-46.63",std_headers,1,1,HTTP/2,true,true,ATO,POST,4,4,OBJ1023,130,"username=br1&password=bot",HTTPS,"?retry=6",direct,2026-05-01T08:22:03Z,REQ0023,BLOCKED,2026-05-01T08:22:01Z,password_spray,2026-05-01T08:22:03Z,2026-05-01T08:22:02Z,SN023,SID1023,2026-05-01T08:22:02Z,2026-05-01T08:22:00Z,SITE01,TLS_AES_128_GCM_SHA256,login_wave,ok,6,6,130,https://corp.com/login,U023,CLAPP23,SIGX23,script,VIS023,2026,5,1,8,22,SOFT_BLOCK,10.0.0.23,830,curl/8.1,true,TLSFP023,1023,PRX23,2026-05-01,high
ALLOW,1,1,scraping,true,Delhi,122.17.81.11,443,true,IN,2026-05-01T08:23:01Z,EP024,2026-05-01T08:23:04Z,"28.61,77.20",std_headers,0,0,HTTP/2,true,true,Scraping,GET,2,2,OBJ1024,280,,HTTPS,"?page=11",google.com,2026-05-01T08:23:04Z,REQ0024,CHALLENGED,2026-05-01T08:23:01Z,catalog_enum,2026-05-01T08:23:04Z,2026-05-01T08:23:03Z,SN024,SID1024,2026-05-01T08:23:03Z,2026-05-01T08:23:00Z,SITE01,TLS_AES_256_GCM_SHA384,api_probe,ok,3,3,280,https://corp.com/catalog,U024,CLAPP24,SIGX24,headless,VIS024,2026,5,1,8,23,RATE_LIMIT,10.0.0.24,0,HeadlessChrome,true,TLSFP024,1024,PRX24,2026-05-01,medium
ALLOW,3,3,ticket_scalping,true,Zurich,88.77.21.9,443,true,CH,2026-05-01T08:24:01Z,EP025,2026-05-01T08:24:05Z,"47.37,8.54",std_headers,1,1,HTTP/2,true,true,Ticketing,POST,5,5,OBJ1025,345,"qty=12",HTTPS,"?event=909",direct,2026-05-01T08:24:05Z,REQ0025,BLOCKED,2026-05-01T08:24:01Z,inventory_hoard,2026-05-01T08:24:05Z,2026-05-01T08:24:03Z,SN025,SID1025,2026-05-01T08:24:03Z,2026-05-01T08:24:00Z,SITE01,TLS_CHACHA20_POLY1305_SHA256,buy_spike,ok,8,8,345,https://corp.com/checkout,U025,CLAPP25,SIGX25,automation,VIS025,2026,5,1,8,24,HARD_BLOCK,10.0.0.25,1300,Playwright,true,TLSFP025,1025,PRX25,2026-05-01,critical
ALLOW,0,0,normal,false,Los Angeles,44.22.11.3,443,true,US,2026-05-01T08:25:01Z,EP026,2026-05-01T08:25:02Z,"34.05,-118.24",std_headers,0,0,HTTP/2,false,true,None,GET,1,1,OBJ1026,30,,HTTPS,"",direct,2026-05-01T08:25:02Z,REQ0026,ALLOWED,2026-05-01T08:25:01Z,None,2026-05-01T08:25:02Z,2026-05-01T08:25:02Z,SN026,SID1026,2026-05-01T08:25:02Z,2026-05-01T08:25:00Z,SITE01,TLS_AES_256_GCM_SHA384,normal_browse,ok,1,1,30,https://corp.com/home,U026,CLAPP26,SIGX26,browser,VIS026,2026,5,1,8,25,NONE,10.0.0.26,300,Chrome/124,false,TLSFP026,1026,,2026-05-01,low
ALLOW,2,2,credential_stuffing,true,Oslo,91.22.11.7,443,true,NO,2026-05-01T08:26:01Z,EP027,2026-05-01T08:26:03Z,"59.91,10.75",std_headers,1,1,HTTP/2,true,true,ATO,POST,4,4,OBJ1027,142,"username=n1&password=pass",HTTPS,"?retry=7",direct,2026-05-01T08:26:03Z,REQ0027,BLOCKED,2026-05-01T08:26:01Z,password_spray,2026-05-01T08:26:03Z,2026-05-01T08:26:02Z,SN027,SID1027,2026-05-01T08:26:02Z,2026-05-01T08:26:00Z,SITE01,TLS_AES_128_GCM_SHA256,login_wave,ok,6,6,142,https://corp.com/login,U027,CLAPP27,SIGX27,script,VIS027,2026,5,1,8,26,SOFT_BLOCK,10.0.0.27,860,python-requests/2.31,true,TLSFP027,1027,PRX27,2026-05-01,high
ALLOW,1,1,scraping,true,Dubai,103.17.41.6,443,true,AE,2026-05-01T08:27:01Z,EP028,2026-05-01T08:27:04Z,"25.20,55.27",std_headers,0,0,HTTP/2,true,true,Scraping,GET,2,2,OBJ1028,310,,HTTPS,"?page=13",google.com,2026-05-01T08:27:04Z,REQ0028,CHALLENGED,2026-05-01T08:27:01Z,catalog_enum,2026-05-01T08:27:04Z,2026-05-01T08:27:03Z,SN028,SID1028,2026-05-01T08:27:03Z,2026-05-01T08:27:00Z,SITE01,TLS_AES_256_GCM_SHA384,api_probe,ok,3,3,310,https://corp.com/catalog,U028,CLAPP28,SIGX28,headless,VIS028,2026,5,1,8,27,RATE_LIMIT,10.0.0.28,0,Scrapy/2.9,true,TLSFP028,1028,PRX28,2026-05-01,medium
ALLOW,3,3,ticket_scalping,true,Brussels,77.88.44.2,443,true,BE,2026-05-01T08:28:01Z,EP029,2026-05-01T08:28:05Z,"50.85,4.35",std_headers,1,1,HTTP/2,true,true,Ticketing,POST,5,5,OBJ1029,390,"qty=14",HTTPS,"?event=555",direct,2026-05-01T08:28:05Z,REQ0029,BLOCKED,2026-05-01T08:28:01Z,inventory_hoard,2026-05-01T08:28:05Z,2026-05-01T08:28:03Z,SN029,SID1029,2026-05-01T08:28:03Z,2026-05-01T08:28:00Z,SITE01,TLS_CHACHA20_POLY1305_SHA256,buy_spike,ok,8,8,390,https://corp.com/checkout,U029,CLAPP29,SIGX29,automation,VIS029,2026,5,1,8,28,HARD_BLOCK,10.0.0.29,1400,selenium-bot,true,TLSFP029,1029,PRX29,2026-05-01,critical
ALLOW,0,0,normal,false,Miami,54.11.88.9,443,true,US,2026-05-01T08:29:01Z,EP030,2026-05-01T08:29:02Z,"25.76,-80.19",std_headers,0,0,HTTP/2,false,true,None,GET,1,1,OBJ1030,33,,HTTPS,"",google.com,2026-05-01T08:29:02Z,REQ0030,ALLOWED,2026-05-01T08:29:01Z,None,2026-05-01T08:29:02Z,2026-05-01T08:29:02Z,SN030,SID1030,2026-05-01T08:29:02Z,2026-05-01T08:29:00Z,SITE01,TLS_AES_256_GCM_SHA384,normal_browse,ok,1,1,33,https://corp.com/home,U030,CLAPP30,SIGX30,browser,VIS030,2026,5,1,8,29,NONE,10.0.0.30,320,Firefox/125,false,TLSFP030,1030,,2026-05-01,low
ALLOW,2,2,credential_stuffing,true,Jakarta,118.22.71.5,443,true,ID,2026-05-01T08:30:01Z,EP031,2026-05-01T08:30:03Z,"-6.20,106.84",std_headers,1,1,HTTP/2,true,true,ATO,POST,4,4,OBJ1031,155,"username=id1&password=123",HTTPS,"?retry=8",direct,2026-05-01T08:30:03Z,REQ0031,BLOCKED,2026-05-01T08:30:01Z,password_spray,2026-05-01T08:30:03Z,2026-05-01T08:30:02Z,SN031,SID1031,2026-05-01T08:30:02Z,2026-05-01T08:30:00Z,SITE01,TLS_AES_128_GCM_SHA256,login_wave,ok,6,6,155,https://corp.com/login,U031,CLAPP31,SIGX31,script,VIS031,2026,5,1,8,30,SOFT_BLOCK,10.0.0.31,900,curl/8.1,true,TLSFP031,1031,PRX31,2026-05-01,high
ALLOW,1,1,scraping,true,Cape Town,197.17.21.8,443,true,ZA,2026-05-01T08:31:01Z,EP032,2026-05-01T08:31:04Z,"-33.92,18.42",std_headers,0,0,HTTP/2,true,true,Scraping,GET,2,2,OBJ1032,350,,HTTPS,"?page=15",bing.com,2026-05-01T08:31:04Z,REQ0032,CHALLENGED,2026-05-01T08:31:01Z,price_scrape,2026-05-01T08:31:04Z,2026-05-01T08:31:03Z,SN032,SID1032,2026-05-01T08:31:03Z,2026-05-01T08:31:00Z,SITE01,TLS_AES_256_GCM_SHA384,pricing_probe,ok,3,3,350,https://corp.com/pricing,U032,CLAPP32,SIGX32,headless,VIS032,2026,5,1,8,31,RATE_LIMIT,10.0.0.32,0,HeadlessChrome,true,TLSFP032,1032,PRX32,2026-05-01,medium
ALLOW,3,3,ticket_scalping,true,Lisbon,88.14.91.1,443,true,PT,2026-05-01T08:32:01Z,EP033,2026-05-01T08:32:05Z,"38.72,-9.13",std_headers,1,1,HTTP/2,true,true,Ticketing,POST,5,5,OBJ1033,415,"qty=16",HTTPS,"?event=654",direct,2026-05-01T08:32:05Z,REQ0033,BLOCKED,2026-05-01T08:32:01Z,inventory_hoard,2026-05-01T08:32:05Z,2026-05-01T08:32:03Z,SN033,SID1033,2026-05-01T08:32:03Z,2026-05-01T08:32:00Z,SITE01,TLS_CHACHA20_POLY1305_SHA256,buy_spike,ok,8,8,415,https://corp.com/buy,U033,CLAPP33,SIGX33,automation,VIS033,2026,5,1,8,32,HARD_BLOCK,10.0.0.33,1500,Playwright,true,TLSFP033,1033,PRX33,2026-05-01,critical
